Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,Inter Crop,price,Season,Land Size,Previous Crop,Crop Rotation Score,N,P,K,pH,Fertilizer,Soil Health Score
2004,Davangere,6470,234,198,Black,Spray,806,57,Blackgram,Groundnut,43311,Zaid,2,Cocoa,2,255,23.7,309.3,7.56,SSP (Single Super Phosphate),7.94
2004,Davangere,6470,234,198,Black,Spray,806,57,Blackgram,Green gram,43311,Zaid,2,Cotton,2,246.2,18.9,282.3,7.72,SSP (Single Super Phosphate),7.78
2004,Davangere,6470,234,198,Black,Spray,806,57,Blackgram,Sorghum,43311,Zaid,2,Paddy,2,264,22.2,280.8,7.78,SSP (Single Super Phosphate),7.12
2005,Davangere,1279,234,199,Black,Spray,880,54,Blackgram,Groundnut,24848,Zaid,2,Tea,2,273.3,19.3,287.3,7.31,SSP (Single Super Phosphate),8
2005,Davangere,1279,234,199,Black,Spray,880,54,Blackgram,Green gram,24848,Zaid,2,Tea,2,252.2,21.1,297.3,7.37,SSP (Single Super Phosphate),8
2005,Davangere,1279,234,199,Black,Spray,880,54,Blackgram,Sorghum,24848,Zaid,2,Tea,2,264.5,18.8,291.7,7.42,SSP (Single Super Phosphate),7.4
2006,Davangere,13283,234,200,Black,Spray,770,54.5,Blackgram,Groundnut,761,Zaid,2,Groundnut,1,258.2,22.7,288,7.51,FYM (Farm Yard Manure) + SSP (Single Super Phosphate),6.99
2006,Davangere,13283,234,200,Black,Spray,770,54.5,Blackgram,Green gram,761,Zaid,2,Cotton,2,263.7,18.3,304.3,7.3,SSP (Single Super Phosphate),8
2006,Davangere,13283,234,200,Black,Spray,770,54.5,Blackgram,Sorghum,761,Zaid,2,Cashew,1,242.6,23.7,318.6,7.69,FYM (Farm Yard Manure) + SSP (Single Super Phosphate),6.21
2007,Davangere,52119,3105,201,Black,Spray,395,56.6,Blackgram,Groundnut,45608,Zaid,2,Pepper,2,252.2,18.6,307.4,7.46,SSP (Single Super Phosphate),8
2007,Davangere,52119,3105,201,Black,Spray,395,56.6,Blackgram,Green gram,45608,Zaid,2,Cotton,2,244.9,21,281.4,7.75,SSP (Single Super Phosphate),7.75
2007,Davangere,52119,3105,201,Black,Spray,395,56.6,Blackgram,Sorghum,45608,Zaid,2,Pepper,2,250.4,22,292.5,7.51,SSP (Single Super Phosphate),7.39
2008,Davangere,725,3105,202,Black,Drip,187,55.5,Blackgram,Groundnut,234581,Zaid,2,Arecanut,2,261.9,19.1,318.8,7.67,SSP (Single Super Phosphate),7.83
2008,Davangere,725,3105,202,Black,Drip,187,55.5,Blackgram,Green gram,234581,Zaid,2,Paddy,2,277.6,23.4,303.9,7.75,SSP (Single Super Phosphate),7.75
2008,Davangere,725,3105,202,Black,Drip,187,55.5,Blackgram,Sorghum,234581,Zaid,2,Paddy,2,243.5,19.2,281.8,7.4,SSP (Single Super Phosphate),7.4
2009,Davangere,12885,3105,203,Black,Drip,187,58.5,Blackgram,Groundnut,646,Zaid,2,Cotton,2,255.5,19.6,313.1,7.41,SSP (Single Super Phosphate),8
2009,Davangere,12885,3105,203,Black,Drip,187,58.5,Blackgram,Green gram,646,Zaid,2,Ginger,2,251.2,21.3,285.6,7.68,SSP (Single Super Phosphate),7.82
2009,Davangere,12885,3105,203,Black,Drip,187,58.5,Blackgram,Sorghum,646,Zaid,2,Tea,2,243,23.9,310.9,7.32,SSP (Single Super Phosphate),7.4
2010,Davangere,51179,236,204,Black,Drip,121,59.5,Blackgram,Groundnut,43562,Zaid,2,Cardamum,2,240.2,22.9,308.3,7.64,SSP (Single Super Phosphate),7.86
2010,Davangere,51179,236,204,Black,Drip,121,59.5,Blackgram,Green gram,43562,Zaid,2,Cocoa,2,270.9,18.4,294.3,7.27,SSP (Single Super Phosphate),8
2010,Davangere,51179,236,204,Black,Drip,121,59.5,Blackgram,Sorghum,43562,Zaid,2,Paddy,2,274.5,21.7,293.2,7.24,SSP (Single Super Phosphate),7.4
2011,Davangere,468,236,205,Black,Drip,103,55,Blackgram,Groundnut,200000,Zaid,2,Pepper,2,252.4,20,309.2,7.58,SSP (Single Super Phosphate),7.92
2011,Davangere,468,236,205,Black,Drip,103,55,Blackgram,Green gram,200000,Zaid,2,Ginger,2,275.5,20.8,284.8,7.63,SSP (Single Super Phosphate),7.87
2011,Davangere,468,236,205,Black,Drip,103,55,Blackgram,Sorghum,200000,Zaid,2,Cocoa,2,270.4,21.4,310.8,7.5,SSP (Single Super Phosphate),7.4
